"링크 길이","시군구 코드","시군구명","읍면동 코드","읍면동명","안심벨","cctv","안심귀갓길 안내표지판","안심귀갓길 노면표기","보안등","안심귀갓길 서비스 안내판","112 위치신고 안내판","기타 시설물","안심귀갓길 id","안심귀갓길 명","조성년월","세부위치 설명","비고","데이터기준일자"
"232.92","1141000000","서울특별시 서대문구","1141011100","홍제동","","5","","3","12","","4","","1141011100_15","서대문안심15","2015","통일로36길","","20221115"
"295.56","1141000000","서울특별시 서대문구","1141011300","대신동","2","4","","6","14","","5","","1141011300_04","서대문안심04","2015","연대동문길","","20221109"
"380.05","1141000000","서울특별시 서대문구","1141011600","창천동","1","5","","5","2","","5","","1141011600_03","서대문안심03","2015","신촌로","","20221109"
"202.24","1141000000","서울특별시 서대문구","1141011700","연희동","1","6","","4","11","","4","1","1141011700_08","서대문안심08","2015","성산로17길","","20221109"
"527.84","1141000000","서울특별시 서대문구","1141011700","연희동","2","1","","6","28","","6","1","1141011700_09","서대문안심09","2015","홍제천로2길","","20221110"
"218.11","1141000000","서울특별시 서대문구","1141011800","홍은동","2","4","","2","12","","3","","1141011800_06","서대문안심06","2015","홍은중앙로","","20221109"
"142.39","1141000000","서울특별시 서대문구","1141011800","홍은동","2","3","","3","6","","3","","1141011800_16","서대문안심16","2015","연희로41가길","","20221115"
"234.55","1141000000","서울특별시 서대문구","1141011800","홍은동","1","6","","4","12","","6","","1141011800_17","서대문안심17","2015","명지대2안길","","20221110"
"349.55","1141000000","서울특별시 서대문구","1141011900","북가좌동","1","5","","5","2","","6","","1141011900_12","서대문안심12","2015","거북골로18길","","20221110"
"216.74","1141000000","서울특별시 서대문구","1141011900","북가좌동","1","4","","3","12","","3","","1141011900_13","서대문안심13","2015","증가로26길","","20221115"
"312.76","1141000000","서울특별시 서대문구","1141012000","남가좌동","1","4","","5","12","","4","","1141012000_10","서대문안심10","2015","가재울로6길","","20221109"
"345.64","1141000000","서울특별시 서대문구","1141012000","남가좌동","1","3","","4","12","","3","","1141012000_11","서대문안심11","2015","거북골로","","20221109"
"277.07","1144000000","서울특별시 마포구","1144010100","아현동","3","3","","4","13","","3","","1144010100_01","마포안심01","2016","손기정로","","20220831"
"259.49","1144000000","서울특별시 마포구","1144010800","대흥동","2","3","2","3","8","","3","","1144010800_02","마포안심02","2019","고산18길","","20220831"
"454.38","1144000000","서울특별시 마포구","1144011000","노고산동","5","5","","4","19","","5","","1144011000_05","마포안심05","2019","신촌로20길","","20220831"
"224.11","1144000000","서울특별시 마포구","1144011300","구수동","2","3","","4","9","","4","","1144011300_04","마포안심04","2019","독막로 24길","","20220831"
"540.94","1144000000","서울특별시 마포구","1144011400","창전동","4","4","","8","19","","6","","1144011400_06","마포안심06","2013","와우산로 26길","","20220831"
"331.63","1144000000","서울특별시 마포구","1144011500","상수동","3","3","","6","14","","7","","1144011500_03","마포안심03","2019","와우산로5길","","20220905"
"181.73","1144000000","서울특별시 마포구","1144012100","동교동","1","1","","3","6","","4","","1144012100_09","마포안심09","2013","동교로27길","","20220831"
"334.24","1144000000","서울특별시 마포구","1144012300","망원동","2","2","","4","13","","6","","1144012300_08","마포안심08","2013","월드컵로14길","","20220831"
"417.3","1144000000","서울특별시 마포구","1144012300","망원동","2","3","","5","14","","6","","1144012300_10","마포안심10","2019","동교로9길","","20220905"
"258.91","1144000000","서울특별시 마포구","1144012500","성산동","2","2","","4","11","","4","","1144012500_07","마포안심07","2013","월드컵북로16길","","20220831"
"486.76","1147000000","서울특별시 양천구","1147010100","신정동","4","7","2","6","33","","14","","1147010100_01","양천안심01","2015","오목로 41길","","20221109"
"638.69","1147000000","서울특별시 양천구","1147010300","신월동","4","6","","8","28","","14","","1147010300_02","양천안심02","2015","양강초등학교,양강중학교 사잇길","","20221109"
"388.8","1147000000","서울특별시 양천구","1147010300","신월동","3","4","","7","21","","7","1","1147010300_03","양천안심03","2015","남부순환로 58길","","20221109"
"391.03","1147000000","서울특별시 양천구","1147010300","신월동","1","8","","6","24","","7","1","1147010300_04","양천안심04","2015","남부순환로 33길","","20221109"
"292.98","1150000000","서울특별시 강서구","1150010100","염창동","3","3","","5","16","","4","","1150010100_16","강서안심16","2014","양천로69길","","20221027"
"309.33","1150000000","서울특별시 강서구","1150010200","등촌동","2","2","","4","12","","4","","1150010200_17","강서안심17","2014","공항대로55길","","20221027"
"251.7","1150000000","서울특별시 강서구","1150010200","등촌동","2","2","","5","11","","3","","1150010200_20","강서안심20","2016","공항대로58길","","20221026"
"232.19","1150000000","서울특별시 강서구","1150010200","등촌동","3","4","","4","9","","4","","1150010200_21","강서안심21","2014","등촌로53길","","20221026"
"232.43","1150000000","서울특별시 강서구","1150010300","화곡동","2","1","","4","1","","4","","1150010300_01","강서안심01","2014","까치산로24길","","20221021"
"218.68","1150000000","서울특별시 강서구","1150010300","화곡동","2","3","","4","11","","4","","1150010300_02","강서안심02","2014","까친산로14길","","20221021"
"302.13","1150000000","서울특별시 강서구","1150010300","화곡동","1","2","","6","9","","6","","1150010300_05","강서안심05","2014","곰달래로31길","","20221020"
"376.54","1150000000","서울특별시 강서구","1150010300","화곡동","3","8","4","5","22","","5","","1150010300_06","강서안심06","2014","등촌로13바길","","20221020"
"338.36","1150000000","서울특별시 강서구","1150010300","화곡동","3","3","4","6","14","","5","","1150010300_15","강서안심15","2016","강서로15길","","20221024"
"365.52","1150000000","서울특별시 강서구","1150010300","화곡동","5","6","","5","15","","","","1150010300_19","강서안심19","2016","강서로35길","","20221024"
"286.85","1150000000","서울특별시 강서구","1150010800","공항동","3","3","","4","11","","4","","1150010800_08","강서안심08","2014","공항대로8길","","20221025"
"268.56","1150000000","서울특별시 강서구","1150010800","공항동","1","1","","4","8","","5","","1150010800_09","강서안심09","2016","방화대로21길","","20221028"
"483.42","1150000000","서울특별시 강서구","1150010900","방화동","2","2","","7","16","","5","","1150010900_07","강서안심07","2014","초원로16길","","20221025"
"159.46","1150000000","서울특별시 강서구","1150010900","방화동","1","2","","","6","","2","","1150010900_23","강서안심23","2016","금낭화로24길","","20221019"
"149.5","1150000000","서울특별시 강서구","1150010900","방화동","1","1","","2","7","","2","","1150010900_24","강서안심24","2016","금낭화로24나길","","20221019"
"231.83","1153000000","서울특별시 구로구","1153010200","구로동","1","2","","3","17","","","","1153010200_01","구로안심01","2019","구로동로35가길","","20220729"
"269.49","1153000000","서울특별시 구로구","1153010200","구로동","1","4","","2","11","","","","1153010200_02","구로안심02","2019","공원로6나길","","20220729"
"203.48","1153000000","서울특별시 구로구","1153010200","구로동","2","4","1","3","9","","","","1153010200_05","구로안심05","2019","구로동로8길","","20220727"
"382.34","1153000000","서울특별시 구로구","1153010200","구로동","3","5","17","2","19","","","","1153010200_14","구로안심14","2019","디지털로32가길","","20220727"
"288.37","1153000000","서울특별시 구로구","1153010300","가리봉동","3","6","1","5","13","","","","1153010300_16","구로안심16","2019","우마1길","","20220727"
"502.36","1153000000","서울특별시 구로구","1153010600","고척동","3","4","","2","21","","","","1153010600_06","구로안심06","2019","경서로1가길","","20220729"
"388.69","1153000000","서울특별시 구로구","1153010700","개봉동","3","4","","4","17","","","","1153010700_10","구로안심10","2019","고척로52라길","","20220729"
"323.83","1153000000","서울특별시 구로구","1153010800","오류동","5","6","","3","16","","","","1153010800_09","구로안심09","2019","오류로8가길","","20220812"
"342.4","1153000000","서울특별시 구로구","1153010800","오류동","3","4","","5","17","","","","1153010800_12","구로안심12","2019","경인로15길","","20220812"
"325.82","1154500000","서울특별시 금천구","1154510100","가산동","3","5","5","5","14","","5","","1154510100_03","금천안심03","2020","남부순환로112길","","20221025"
"224.01","1154500000","서울특별시 금천구","1154510200","독산동","2","4","4","4","7","","","","1154510200_01","금천안심01","2020","시흥대로100길","","20221025"
"622.92","1154500000","서울특별시 금천구","1154510200","독산동","7","8","4","6","37","","3","","1154510200_04","금천안심04","2014","독산로84길","","20221025"
"340.05","1154500000","서울특별시 금천구","1154510200","독산동","3","4","3","5","11","","2","","1154510200_05","금천안심05","2014","범안로12길","","20221027"
"319.59","1154500000","서울특별시 금천구","1154510300","시흥동","4","4","4","5","18","","5","","1154510300_02","금천안심02","2014","금하로24길","","20221025"
"441.6","1154500000","서울특별시 금천구","1154510300","시흥동","3","3","4","3","13","","6","","1154510300_06","금천안심06","2019","시흥대로63길","","20220729"
"444.69","1156000000","서울특별시 영등포구","1156010100","영등포동","2","2","","3","1","4","4","","1156010100_29","영등포안심29","2014","영신로20길","","20220930"
"293.48","1156000000","서울특별시 영등포구","1156010800","영등포동7가","2","4","","4","14","4","4","","1156010800_02","영등포안심02","2014","양산로29길","","20220802"
"294.7","1156000000","서울특별시 영등포구","1156011100","당산동1가","3","6","","4","13","4","4","","1156011100_18","영등포안심18","2014","영등포로25길","","20220802"
"373.25","1156000000","서울특별시 영등포구","1156011400","당산동4가","2","3","","5","13","5","5","","1156011400_21","영등포안심21","2018","당산로38길","","20220802"
"352.56","1156000000","서울특별시 영등포구","1156011600","당산동6가","3","","","5","17","5","7","","1156011600_19","영등포안심19","2014","당산로50길","","20220802"
"391.94","1156000000","서울특별시 영등포구","1156011800","도림동","1","1","","5","1","5","5","","1156011800_09","영등포안심09","2014","도신로15길","","20220802"
"358.64","1156000000","서울특별시 영등포구","1156012600","양평동2가","2","11","","4","14","5","5","","1156012600_16","영등포안심16","2017","선유서로25길","","20220802"
"366.43","1156000000","서울특별시 영등포구","1156012800","양평동4가","2","2","","6","18","6","6","","1156012800_20","영등포안심20","2014","선유로53길","","20220802"
"178.03","1156000000","서울특별시 영등포구","1156013200","신길동","1","1","","3","13","2","3","","1156013200_11","영등포안심11","2014","신풍로23길","","20220809"
"402.37","1156000000","서울특별시 영등포구","1156013200","신길동","3","4","","6","21","6","6","","1156013200_13","영등포안심13","2017","영등포로62나길","","20220930"
"479.02","1156000000","서울특별시 영등포구","1156013200","신길동","5","6","","6","2","6","6","","1156013200_14","영등포안심14","2014","영등포로86길","","20220802"
"529.86","1156000000","서울특별시 영등포구","1156013200","신길동","5","5","","8","26","5","6","","1156013200_15","영등포안심15","2014","도신로56길","","20220812"
"498.96","1156000000","서울특별시 영등포구","1156013300","대림동","3","4","","7","21","","4","","1156013300_22","영등포안심22","2014","디지털로37길","","20220929"
"313.07","1156000000","서울특별시 영등포구","1156013300","대림동","4","6","","6","14","6","6","","1156013300_23","영등포안심23","2014","디지털로 38길","","20220929"
"279.52","1156000000","서울특별시 영등포구","1156013300","대림동","3","4","","4","17","4","4","","1156013300_26","영등포안심26","2014","대림로34길","","20220812"
"425.63","1159000000","서울특별시 동작구","1159010100","노량진동","3","3","2","3","13","","3","","1159010100_01","동작안심01","2013","만양로14가길","","20220818"
"222.07","1159000000","서울특별시 동작구","1159010100","노량진동","1","2","2","2","9","","2","","1159010100_02","동작안심02","2015","등용로4길","","20220818"
"501.57","1159000000","서울특별시 동작구","1159010200","상도동","3","5","2","3","19","","3","","1159010200_05","동작안심05","2014","상도로61길","","20220829"
"601.86","1159000000","서울특별시 동작구","1159010200","상도동","4","4","1","3","27","","3","","1159010200_06","동작안심06","2014","성대로27길","","20220818"
"298.65","1159000000","서울특별시 동작구","1159010200","상도동","2","3","2","3","21","","3","","1159010200_17","동작안심17","2014","국사봉10길","","20220818"
"330.77","1159000000","서울특별시 동작구","1159010200","상도동","3","4","2","3","18","","3","","1159010200_18","동작안심18","2014","상도로13길","","20220818"
"252.05","1159000000","서울특별시 동작구","1159010300","상도1동","2","3","3","3","15","","3","","1159010300_07","동작안심07","2014","상도로47길","","20220829"
"476.83","1159000000","서울특별시 동작구","1159010400","본동","4","4","5","3","25","","3","","1159010400_03","동작안심03","2014","흑석로9길","","20220822"
"344.46","1159000000","서울특별시 동작구","1159010400","본동","2","2","6","3","17","","4","","1159010400_04","동작안심04","2014","노량진로28길","","20220822"
"683.4","1159000000","서울특별시 동작구","1159010700","사당동","7","1","","4","36","","4","","1159010700_08","동작안심08","2014","동작대로29길","","20220823"
"512.06","1159000000","서울특별시 동작구","1159010700","사당동","3","4","1","3","1","","15","","1159010700_09","동작안심09","2014","사당로27길","","20220823"
"626.64","1159000000","서울특별시 동작구","1159010700","사당동","6","6","3","5","29","","8","","1159010700_10","동작안심10","2014","사당로13길","","20220823"
"547.4","1159000000","서울특별시 동작구","1159010700","사당동","5","5","2","3","24","","4","","1159010700_11","동작안심11","2014","남부순환로269길","","20220823"
"456.66","1159000000","서울특별시 동작구","1159010700","사당동","3","3","","3","23","","3","","1159010700_12","동작안심12","2014","사당로14길","","20220823"
"356.09","1159000000","서울특별시 동작구","1159010700","사당동","2","2","1","3","16","","3","","1159010700_13","동작안심13","2014","사당로8길","","20220823"
"259.64","1159000000","서울특별시 동작구","1159010900","신대방동","3","3","1","3","14","","3","","1159010900_14","동작안심14","2014","여의대방로22차길","","20220819"
"276.67","1159000000","서울특별시 동작구","1159010900","신대방동","2","2","1","3","18","","3","","1159010900_15","동작안심15","2014","여의대방로22카길","","20220819"
"185.2","1159000000","서울특별시 동작구","1159010900","신대방동","3","4","1","5","9","","4","","1159010900_16","동작안심16","2014","신대방2길","","20220822"
"433.15","1162000000","서울특별시 관악구","1162010100","봉천동","3","8","","5","21","","4","","1162010100_02","관악안심02","2014","봉천로29길","","20220923"
"267.27","1162000000","서울특별시 관악구","1162010100","봉천동","3","6","","4","12","","4","","1162010100_03","관악안심03","2014","봉천로23길","","20220921"
"292.38","1162000000","서울특별시 관악구","1162010100","봉천동","3","9","","2","15","","4","","1162010100_05","관악안심05","2014","남부순환로","","20220923"
"358.24","1162000000","서울특별시 관악구","1162010100","봉천동","3","5","","4","18","","2","","1162010100_08","관악안심08","2014","장군봉길","","20220927"
"489.77","1162000000","서울특별시 관악구","1162010100","봉천동","4","12","","5","19","","7","3","1162010100_11","관악안심11","2014","봉천로49길","","20220920"
"285.1","1162000000","서울특별시 관악구","1162010100","봉천동","3","8","","4","21","","5","1","1162010100_12","관악안심12","2014","온천로39길","","20220927"
"564.63","1162000000","서울특별시 관악구","1162010200","신림동","3","11","","5","25","1","19","","1162010200_01","관악안심01","2014","신림동7길","","20220915"
"229.59","1162000000","서울특별시 관악구","1162010200","신림동","2","3","4","","13","","2","","1162010200_04","관악안심04","2022","신림로46길","","20220921"
"505.56","1162000000","서울특별시 관악구","1162010200","신림동","3","12","","4","21","","4","","1162010200_06","관악안심06","2014","난곡로76길","","20220927"
"343.84","1162000000","서울특별시 관악구","1162010200","신림동","2","8","","4","13","","4","","1162010200_07","관악안심07","2014","남부순환로194길","","20220927"
"398.73","1162000000","서울특별시 관악구","1162010200","신림동","4","9","","2","22","","4","","1162010200_09","관악안심09","2014","신림로23길","","20220926"
"313.85","1162000000","서울특별시 관악구","1162010200","신림동","2","1","","3","12","","3","","1162010200_10","관악안심10","2014","신림로22길","","20220926"
"345.26","1162000000","서울특별시 관악구","1162010200","신림동","2","5","","4","13","","5","","1162010200_13","관악안심13","2014","남부순환로161길","","20220919"
"535.13","1162000000","서울특별시 관악구","1162010200","신림동","4","12","","5","24","","5","","1162010200_14","관악안심14","2014","법원단지길","","20220920"
"329.12","1162000000","서울특별시 관악구","1162010200","신림동","2","7","","3","17","","4","","1162010200_15","관악안심15","2014","난곡로26길","","20220928"
"419.64","1162000000","서울특별시 관악구","1162010200","신림동","1","6","","5","15","","4","","1162010200_16","관악안심16","2014","난향7길","","20220922"
"546.25","1162000000","서울특별시 관악구","1162010200","신림동","","11","","5","18","","8","","1162010200_17","관악안심17","2014","난곡로64길","","20220928"
"291.11","1162000000","서울특별시 관악구","1162010200","신림동","1","7","","4","12","","5","","1162010200_20","관악안심20","2019","남부순환로143길","","20220919"
"442.75","1162000000","서울특별시 관악구","1162010300","남현동","4","1","","4","17","","4","1","1162010300_21","관악안심21","2014","남현2길","","20220922"
"372.97","1165000000","서울특별시 서초구","1165010100","방배동","","","","6","14","","7","","1165010100_12","서초안심12","2016","청두곶길","","20221013"
"614.77","1165000000","서울특별시 서초구","1165010100","방배동","","","","5","22","","6","","1165010100_13","서초안심13","2018","효령로2길","","20221013"
"679.28","1165000000","서울특별시 서초구","1165010100","방배동","","","","7","26","","12","","1165010100_14","서초안심14","2016","명달로9길","","20221018"
"622.51","1165000000","서울특별시 서초구","1165010100","방배동","","","","2","42","","7","","1165010100_15","서초안심15","2015","동광로12길","","20221014"
"369.19","1165000000","서울특별시 서초구","1165010100","방배동","","","","5","15","","5","","1165010100_16","서초안심16","2016","방배로23길","","20221014"
"254.63","1165000000","서울특별시 서초구","1165010100","방배동","","","","2","7","","7","","1165010100_17","서초안심17","2020","효령로31길","","20221018"
"481.76","1165000000","서울특별시 서초구","1165010200","양재동","","","","6","22","","8","","1165010200_08","서초안심08","2014","바우뫼로39길","","20221012"
"322.86","1165000000","서울특별시 서초구","1165010200","양재동","","","","6","15","","9","","1165010200_09","서초안심09","2014","논현로5길","","20221013"
"216.44","1165000000","서울특별시 서초구","1165010300","우면동","2","3","","3","11","","4","","1165010300_10","서초안심10","2014","바우뫼로6길","","20221006"
"465.97","1165000000","서울특별시 서초구","1165010600","잠원동","4","4","","4","23","","7","","1165010600_02","서초안심02","2014","신반포로45길","","20221005"
"593.57","1165000000","서울특별시 서초구","1165010700","반포동","3","6","","5","3","","9","1","1165010700_01","서초안심01","2014","신반포로","","20221005"
"298.86","1165000000","서울특별시 서초구","1165010700","반포동","1","4","","4","13","","5","","1165010700_18","서초안심18","2016","서래로5길","","20221004"
"449.88","1165000000","서울특별시 서초구","1165010700","반포동","1","5","","4","18","","4","","1165010700_19","서초안심19","2015","사평대로26길","","20221004"
"320.33","1165000000","서울특별시 서초구","1165010800","서초동","3","4","","4","15","","5","","1165010800_03","서초안심03","2014","서초중앙로12길","","20221007"
"282.87","1165000000","서울특별시 서초구","1165010800","서초동","2","2","","3","14","","5","","1165010800_04","서초안심04","2014","강남대로43길","","20221007"
"296.13","1165000000","서울특별시 서초구","1165010800","서초동","3","4","","3","14","","6","","1165010800_05","서초안심05","2014","효령로74길","","20221011"
"452.06","1165000000","서울특별시 서초구","1165010800","서초동","","","","6","17","","7","","1165010800_06","서초안심06","2014","남부순환로315길","","20221012"
"545.62","1165000000","서울특별시 서초구","1165010800","서초동","3","3","","7","18","","9","","1165010800_07","서초안심07","2014","반포대로22길","","20221011"
"335.08","1165000000","서울특별시 서초구","1165011000","염곡동","2","5","","5","15","","4","","1165011000_11","서초안심11","2014","염곡안길","","20221006"
"470.96","1168000000","서울특별시 강남구","1168010100","역삼동","1","3","","3","17","","3","","1168010100_01","강남안심01","2014","강남대로106길","","20221108"
"546.13","1168000000","서울특별시 강남구","1168010100","역삼동","4","16","","4","32","","3","3","1168010100_02","강남안심02","2014","논현로102길","","20221108"
"435.75","1168000000","서울특별시 강남구","1168010100","역삼동","3","9","","3","2","","6","","1168010100_09","수서안심09","2015","도곡로33길","","20221108"
"451","1168000000","서울특별시 강남구","1168010100","역삼동","3","14","","3","18","","3","","1168010100_18","강남안심18","2014","선릉로107길","","20221108"
"211.16","1168000000","서울특별시 강남구","1168010300","개포동","2","3","","1","12","","6","","1168010300_05","수서안심05","2014","개포로21길","","20221108"
"378.58","1168000000","서울특별시 강남구","1168010400","청담동","5","6","","3","16","","3","","1168010400_12","강남안심12","2014","","","20221107"
"401","1168000000","서울특별시 강남구","1168010400","청담동","4","4","","3","15","","3","","1168010400_13","강남안심13","2014","","","20221107"
"404.04","1168000000","서울특별시 강남구","1168010500","삼성동","3","5","","3","18","","3","","1168010500_08","강남안심08","2014","","","20221107"
"458.01","1168000000","서울특별시 강남구","1168010500","삼성동","5","5","","3","23","","3","","1168010500_10","강남안심10","2014","봉은사로72길","","20221108"
"832.58","1168000000","서울특별시 강남구","1168010500","삼성동","8","9","","3","4","","4","","1168010500_11","강남안심11","2014","","","20221107"
"294.91","1168000000","서울특별시 강남구","1168010500","삼성동","2","3","","3","18","","3","","1168010500_20","강남안심20","2014","","","20221107"
"225.31","1168000000","서울특별시 강남구","1168010600","대치동","3","3","","2","15","","5","","1168010600_03","수서안심03","2014","역삼로74길","","20221108"
"312.06","1168000000","서울특별시 강남구","1168010600","대치동","4","4","","2","11","","6","","1168010600_04","수서안심04","2014","삼성로76길","","20221108"
"302.19","1168000000","서울특별시 강남구","1168010700","신사동","4","8","","4","16","","4","","1168010700_15","강남안심15","2014","논현로159길","","20221108"
"451.57","1168000000","서울특별시 강남구","1168010700","신사동","4","17","","3","19","","4","","1168010700_17","강남안심17","2014","압구정로30길","","20221108"
"224.55","1168000000","서울특별시 강남구","1168010800","논현동","2","6","","2","6","","3","","1168010800_03","강남안심03","2014","강남대로122길","","20221108"
"403.4","1168000000","서울특별시 강남구","1168010800","논현동","5","23","3","4","17","","6","","1168010800_04","강남안심04","2014","봉은사로21길","","20221108"
"781.45","1168000000","서울특별시 강남구","1168010800","논현동","4","11","5","4","31","","5","","1168010800_05","강남안심05","2014","","","20221107"
"646.73","1168000000","서울특별시 강남구","1168010800","논현동","5","6","","4","24","","4","","1168010800_06","강남안심06","2014","","","20221107"
"722.52","1168000000","서울특별시 강남구","1168010800","논현동","4","7","","2","33","","6","","1168010800_07","강남안심07","2014","","","20221107"
"341.47","1168000000","서울특별시 강남구","1168010800","논현동","4","5","","3","15","","3","","1168010800_19","강남안심19","2014","","","20221116"
"325.92","1168000000","서울특별시 강남구","1168011300","율현동","3","3","","2","12","","7","","1168011300_07","수서안심07","2014","밤고개로24길","","20221108"
"589.79","1168000000","서울특별시 강남구","1168011400","일원동","5","7","","2","29","","14","","1168011400_06","수서안심06","2014","일원로5길","","20221108"
"330.08","1168000000","서울특별시 강남구","1168011800","도곡동","2","8","","2","13","","4","","1168011800_01","수서안심01","2014","도곡로4길","","20221108"
"368.56","1171000000","서울특별시 송파구","1171010100","잠실동","3","9","1","4","17","","2","2","1171010100_04","송파안심04","2014","백제고분로19길","","20221109"
"634.58","1171000000","서울특별시 송파구","1171010100","잠실동","4","13","1","4","27","","4","","1171010100_06","송파안심06","2014","올림픽로12길","","20221109"
"555.62","1171000000","서울특별시 송파구","1171010300","풍납동","4","13","3","5","25","","5","2","1171010300_19","송파안심19","2014","올림픽로51길","","20221116"
"426.47","1171000000","서울특별시 송파구","1171010400","송파동","5","12","4","2","17","","2","2","1171010400_02","송파안심02","2014","송파대로36길","","20221108"
"530.11","1171000000","서울특별시 송파구","1171010400","송파동","3","6","2","3","18","","3","1","1171010400_03","송파안심03","2014","송파대로42길","","20221108"
"271.45","1171000000","서울특별시 송파구","1171010500","석촌동","2","7","3","4","12","","3","2","1171010500_07","송파안심07","2014","가락로11길","","20221108"
"245.38","1171000000","서울특별시 송파구","1171010500","석촌동","1","2","2","5","9","","3","2","1171010500_09","송파안심09","2014","송파대로45길","","20221108"
"285.59","1171000000","서울특별시 송파구","1171010600","삼전동","","3","2","3","1","","3","","1171010600_08","송파안심08","2014","삼학사로9길","","20221109"
"568.47","1171000000","서울특별시 송파구","1171010700","가락동","2","9","2","8","25","","8","1","1171010700_11","송파안심11","2014","오금로42길","","20221116"
"625.03","1171000000","서울특별시 송파구","1171010700","가락동","3","1","9","6","9","","","2","1171010700_11-1","송파안심11-1","2019","송파대로","","20221116"
"550.34","1171000000","서울특별시 송파구","1171011100","방이동","5","12","4","8","13","","5","","1171011100_01","송파안심01","2014","위례성대로18길","","20221108"
"346.65","1171000000","서울특별시 송파구","1171011100","방이동","2","4","","5","11","","4","","1171011100_22","송파안심22","2014","위례성대로20길","","20221108"
"420.71","1171000000","서울특별시 송파구","1171011200","오금동","2","4","2","5","19","","5","2","1171011200_23","송파안심23","2014","동남로 26길","","20221109"
"639.73","1171000000","서울특별시 송파구","1171011400","마천동","7","22","5","6","31","","7","3","1171011400_14","송파안심14","2014","마천로 61다길","","20221109"
"363.82","1171000000","서울특별시 송파구","1171011400","마천동","3","13","6","5","21","","4","2","1171011400_15","송파안심15","2014","마천로 61바길","","20221109"
"234.92","1174000000","서울특별시 강동구","1174010100","명일동","2","2","","4","9","","3","","1174010100_13","강동안심13","2015","양재대로 141길","","20221017"
"485.49","1174000000","서울특별시 강동구","1174010100","명일동","3","3","","3","19","","3","","1174010100_14","강동안심14","2015","양재대로134길","","20221107"
"317.86","1174000000","서울특별시 강동구","1174010200","고덕동","3","3","","4","21","","4","","1174010200_11","강동안심11","2015","상일로19길","","20221107"
"373.11","1174000000","서울특별시 강동구","1174010200","고덕동","4","4","","4","21","","4","","1174010200_12","강동안심12","2015","야리수로64길","","20221107"
"352.85","1174000000","서울특별시 강동구","1174010500","길동","2","3","","5","9","","5","","1174010500_03","강동안심03","2015","양재대로 113길","","20221017"
"502.81","1174000000","서울특별시 강동구","1174010500","길동","3","3","","4","23","","5","","1174010500_04","강동안심04","2015","양재대로116길","","20221107"
"450.82","1174000000","서울특별시 강동구","1174010500","길동","2","3","","7","23","","7","","1174010500_05","강동안심05","2015","양재대로112길","","20221107"
"377.82","1174000000","서울특별시 강동구","1174010600","둔촌동","2","2","","3","14","","1","","1174010600_15","강동안심15","2015","양재대로100길","","20221107"
"315.71","1174000000","서울특별시 강동구","1174010600","둔촌동","3","3","","3","12","","4","","1174010600_16","강동안심16","2015","천호대로188길","","20221107"
"348.64","1174000000","서울특별시 강동구","1174010700","암사동","2","2","","4","15","","4","","1174010700_06","강동안심06","2015","상암로 17길","","20221107"
"217.04","1174000000","서울특별시 강동구","1174010700","암사동","2","2","","","7","","3","","1174010700_07","강동안심07","2015","구천면로 64길","","20221017"
"309.92","1174000000","서울특별시 강동구","1174010700","암사동","3","3","","5","16","","4","","1174010700_08","강동안심08","2015","고덕로 24길","","20221111"
"498.91","1174000000","서울특별시 강동구","1174010800","성내동","4","5","","5","2","","5","","1174010800_09","강동안심09","2015","성내로3길","","20221116"
"501.71","1174000000","서울특별시 강동구","1174010800","성내동","3","3","","6","26","","6","","1174010800_10","강동안심10","2015","천호대로168길","","20221107"
"444.34","1174000000","서울특별시 강동구","1174010900","천호동","4","4","","4","21","","3","","1174010900_01","강동안심01","2015","천호대로 151길","","20221107"
"348.47","1174000000","서울특별시 강동구","1174010900","천호동","3","3","","9","19","","5","","1174010900_02","강동안심02","2015","성안로27길","","20221107"