지번주소,도로명주소,좌표정보(X),좌표정보(Y)
서울특별시 강서구 화곡동 1117-15 (지하 1층),"서울특별시 강서구 화곡로 320, 지하 1층 (화곡동, 6동)",186720.8924,450028.1615
서울특별시 강서구 화곡동 903-3 (지하 1층),"서울특별시 강서구 강서로 17, 지하 1층 (화곡동, 1동)",186473.6121,447474.6321
서울특별시 강서구 화곡동 1006-10번지 (지하 1층) 1호,"서울특별시 강서구 강서로 239, 지하 1층 1호 (화곡동, 3동)",185436.0743,449449.2625
서울특별시 강서구 화곡동 372-3 (지하 1층),"서울특별시 강서구 가로공원로76길 6, 지하 1층 (화곡동, 1동)",185520.5008,448289.4396
서울특별시 강서구 화곡동 1006-3 (지하 1층),"서울특별시 강서구 강서로 245, 지하 1층 (화곡동, 3동)",185438.3413,449492.2301
서울특별시 강서구 화곡동 342-55 (지하 1층),"서울특별시 강서구 강서로 34, 지하 1층 (화곡동, 8동)",186453.1876,447642.8402
서울특별시 강서구 화곡동 1116-2번지 (지하 1층) ,"서울특별시 강서구 공항대로46길 64, 지하 1층 (화곡동, 6동)",186806.3612,450129.3922
서울특별시 강서구 화곡동 1006-9번지 (지하 1층) ,"서울특별시 강서구 강서로 243, 지하 1층 (화곡동, 3동)",185438.1407,449473.136
서울특별시 강서구 화곡동 346-1 (지하 1층),"서울특별시 강서구 강서로 55, 지하 1층 (화곡동, 1동)",186307.2853,447832.9074
서울특별시 강서구 화곡동 1117-16 외 2필지 (지하 1층),"서울특별시 강서구 화곡로 322, 지하 1층 (화곡동, 6동)",186730.8671,450042.2238
서울특별시 강서구 화곡동 904-1번지 (지하 1층) ,"서울특별시 강서구 강서로5길 10, 지하 1층 (화곡동, 1동)",186493.1558,447429.957
서울특별시 강서구 공항동 72-30번지 (지하 1층) ,"서울특별시 강서구 공항대로 14-1, 지하 1층 (공항동)",183042.6399,451015.8183
서울특별시 강서구 화곡동 1117-3 (지하 1층) ,"서울특별시 강서구 공항대로46길 84, 지하 1층 (화곡동, 6동)",186761.4348,450039.302
서울특별시 강서구 화곡동 982-9번지 외 1필지 삼호빌딩 (지하 1층) ,"서울특별시 강서구 화곡로 280, 지하 1층 (화곡동, 6동 삼호빌딩)",186485.2012,449695.443
서울특별시 강서구 화곡동 1117-0 지하1층 우측,"서울특별시 강서구 화곡로58길 8, 지하1층 (화곡동, 6동, 우측)",186783.4813,450080.4482
서울특별시 강서구 화곡동 1117-14 (지하 1층),"서울특별시 강서구 화곡로 318, 지하 1층 (화곡동, 6동)",186702.9548,450002.2927
서울특별시 강서구 화곡동 1117-18번지 (지하 1층) ,"서울특별시 강서구 화곡로 326, 지하 1층 (화곡동, 6동)",186748.4399,450068.2771
서울특별시 강서구 염창동 259-2 외 1필지 나이아가라호텔 (지하 3층),"서울특별시 강서구 양천로 743, 지하 3층 (염창동, 나이아가라호텔)",189200.1477,449654.951
서울특별시 강서구 화곡동 1117-17 외 1필지 (지하 1층) ,"서울특별시 강서구 화곡로 324, 지하 1층 (화곡동, 6동)",186740.1498,450055.0444
서울특별시 강서구 화곡동 1117-7 (지하 1층) ,"서울특별시 강서구 공항대로46길 90, 지하 1층 (화곡동, 6동)",186742.6244,450021.6833
서울특별시 강서구 화곡동 1117-11번지 (지하 1층) ,"서울특별시 강서구 공항대로46길 96, 지하 1층 (화곡동, 6동)",186721.0723,449990.6055
서울특별시 강서구 공항동 53-58번지 (지하 1층) ,"서울특별시 강서구 송정로 60, 지하 1층 (공항동)",183157.7469,450892.1015
서울특별시 강서구 방화동 580-153 (지하 1층),"서울특별시 강서구 방화동로 99-1, 지하 1층 (방화동, 2동)",183383.1865,451907.4103
서울특별시 강서구 화곡동 1116-6 외 1필지 (지하 1층) ,"서울특별시 강서구 화곡로 336, 지하 1층 (화곡동, 6동)",186796.7822,450156.9567
서울특별시 강서구 화곡동 338-32번지 (지하 1층) ,"서울특별시 강서구 강서로20길 4, 지하 1층 (화곡동, 8동)",186304.9574,447950.1315
서울특별시 강서구 화곡동 1117-19 (지하 1층),"서울특별시 강서구 화곡로 328, 지하 1층 (화곡동, 6동)",186760.6716,450084.2094
서울특별시 강서구 화곡동 898-16 (지하 1층) ,"서울특별시 강서구 강서로 21, 지하 1층 (화곡동, 1동)",186455.6283,447517.153
서울특별시 강서구 화곡동 1066-1번지 (지하 1층) ,"서울특별시 강서구 화곡로 137, 지하 1층 (화곡동, 3동)",185525.0373,448760.6448
서울특별시 강서구 화곡동 935-5번지 (지하 1층) ,"서울특별시 강서구 강서로5나길 144, 지하 1층 (화곡동, 1동)",185794.4221,447360.4836
서울특별시 강서구 화곡동 903-4 (지상 2층),"서울특별시 강서구 강서로5길 4, 2층 (화곡동, 1동)",186477.549,447457.3384
서울특별시 강서구 화곡동 904-13번지 (지하 1층) ,"서울특별시 강서구 강서로5나길 18, 지하 1층 (화곡동, 1동)",186434.921,447405.5368
서울특별시 강서구 화곡동 24-347 (지하 1층),"서울특별시 강서구 화곡로 268, 지하 1층 (화곡동, 본동)",186422.5479,449596.6556
서울특별시 강서구 화곡동 1117-2 (지하 1층) ,"서울특별시 강서구 공항대로46길 82, 지하 1층 (화곡동, 6동)",186765.2046,450054.4586
서울특별시 강서구 화곡동 1117-1번지 (지상 1층) ,"서울특별시 강서구 공항대로46길 78, 1층 (화곡동, 6동)",186773.4718,450066.5636
서울특별시 강서구 가양동 1479-4번지 씨드가양플라자 (지하 2층) 201호,"서울특별시 강서구 양천로57길 13, 지하 2층 201호 (가양동, 2동 씨드가양플라자 )",186856.9376,451268.3893
서울특별시 강서구 화곡동 1111-5 (지하 1층) ,"서울특별시 강서구 화곡로 340, 지하 1층 (화곡동, 6동)",186829.3799,450187.5672
서울특별시 강서구 화곡동 1117-13 (지하 1층) ,"서울특별시 강서구 화곡로 316, 지하 1층 (화곡동, 6동)",186691.9308,449987.4354
서울특별시 강서구 화곡동 1105-5 외 1필지 (지하 1층),"서울특별시 강서구 화곡로 313, 지하 1층 (화곡동, 6동)",186651.0259,450017.8325
서울특별시 강서구 화곡동 935-14 (지하 1층),"서울특별시 강서구 강서로5나길 152, 지하 1층 (화곡동, 1동)",185766.0369,447358.6377
서울특별시 강서구 화곡동 1063-13 (지하 1층),"서울특별시 강서구 화곡로 175, 지하 1층 (화곡동, 우장산동)",185887.9336,448882.7772
서울특별시 강서구 화곡동 904-27 (지하 1층),"서울특별시 강서구 강서로5길 16, 지하 1층 (화곡동, 1동)",186501.7184,447407.8187
서울특별시 강서구 화곡동 981-13번지 (지하 1층) ,"서울특별시 강서구 화곡로50길 5, 지하 1층 (화곡동, 6동)",186529.5177,449732.8759
서울특별시 강서구 화곡동 343-60번지 (지하 1층) ,"서울특별시 강서구 강서로 35, 지하 1층 (화곡동, 1동)",186402.8165,447637.266
서울특별시 강서구 화곡동 1117-1 (지하 1층),"서울특별시 강서구 공항대로46길 78, 지하 1층 (화곡동, 6동)",186773.4718,450066.5636
서울특별시 강서구 화곡동 1105-5 (지하 1층),"서울특별시 강서구 화곡로 313, 지하 1층 (화곡동, 6동)",186651.0259,450017.8325
서울특별시 강서구 화곡동 1105-7번지 (지하 1층) ,"서울특별시 강서구 우장산로16길 19, 지하 1층 (화곡동, 6동)",186630.0724,450017.4915
서울특별시 강서구 화곡동 1105-2 (지하 1층),"서울특별시 강서구 화곡로 319, 지하 1층 (화곡동, 6동)",186681.392,450058.6379
서울특별시 강서구 화곡동 380-14번지 (지하 1층) ,"서울특별시 강서구 화곡로20길 51, 지하 1층 (화곡동, 1동)",185524.2237,448444.1551
서울특별시 강서구 화곡동 1117-12 (지하 1층),"서울특별시 강서구 공항대로46길 100, 지하 1층 (화곡동, 6동)",186711.5327,449978.5634
서울특별시 강서구 화곡동 1117-7번지 (지상 5층) ,"서울특별시 강서구 공항대로46길 90, 5층 (화곡동, 6동)",186742.6244,450021.6833
서울특별시 강서구 화곡동 1065-31번지 (지하 1층) ,"서울특별시 강서구 강서로 171, 지하 1층 (화곡동, 3동)",185775.1,448849.97
서울특별시 강서구 화곡동 935-19 (지하 1층),"서울특별시 강서구 월정로 102, 지하 1층 (화곡동, 1동)",185747.6701,447360.2708
서울특별시 강서구 화곡동 998-1 (지하 1층),"서울특별시 강서구 화곡로 311, 지하 1층 (화곡동, 6동)",186633.6154,449992.3416
서울특별시 강서구 화곡동 1110-3 (지하 1~2층),"서울특별시 강서구 화곡로 354-10, 지하 1~2층 (화곡동, 6동)",186892.9474,450261.9914
서울특별시 강서구 화곡동 898-5번지 (지상 2층) ,"서울특별시 강서구 강서로 21, 2층 (화곡동, 1동)",186448.2477,447533.492
서울특별시 강서구 화곡동 903-17 외 1필지 (지상 2층) ,"서울특별시 강서구 강서로7길 5, 2층 (화곡동, 1동)",186443.006,447493.8452
서울특별시 강서구 화곡동 1105-12 스카이관광호텔 (지하 1층),"서울특별시 강서구 우장산로 128, 스카이관광호텔 지하 1층 (화곡동)",186684.35,450092.2739
서울특별시 강서구 화곡동 905-9번지 (지상 2층) ,"서울특별시 강서구 강서로5나길 32, 2층 (화곡동, 1동)",186355.0842,447404.1898
서울특별시 강서구 화곡동 1117-13번지 (지하 1층) ,"서울특별시 강서구 화곡로 316, 지하 1층 (화곡동, 6동)",186691.9308,449987.4354
서울특별시 강서구 화곡동 1110-3 (지상 2층),"서울특별시 강서구 화곡로 354-10, 2층 (화곡동, 6동)",186892.9474,450261.9914
서울특별시 강서구 화곡동 1097-4번지 (지상 14층) ,"서울특별시 강서구 화곡로 327, 14층 (화곡동, 6동)",186720.895,450123.2114
서울특별시 강서구 화곡동 1097-4 2층,"서울특별시 강서구 화곡로 327, 2층 (화곡동, 6동)",186720.895,450123.2114
서울특별시 강서구 화곡동 898-1 화곡심포니타워 (지상 2층) 203호,"서울특별시 강서구 강서로 27, 2층 203호 (화곡동, 1동 화곡심포니타워)",186424.3917,447580.5448
서울특별시 강서구 화곡동 902-1 (지하 1층),"서울특별시 강서구 곰달래로24길 24, 지하 1층 (화곡동, 1동)",186409.6667,447486.5787
서울특별시 강서구 화곡동 905-9 (지하 1층),"서울특별시 강서구 강서로5나길 32, 지하 1층 (화곡동, 1동)",186355.0842,447404.1898
서울특별시 강서구 화곡동 938-18 (지하 1층),"서울특별시 강서구 곰달래로 52, 지하 1층 (화곡동, 1동)",185665.1306,447530.3296
서울특별시 강서구 화곡동 1117-19 (지하 1층),"서울특별시 강서구 화곡로 328, 지하 1층 (화곡동, 6동)",186760.6716,450084.2094
서울특별시 강서구 가양동 1479-4번지 씨드가양플라자 (지하 2층) 201-1호,"서울특별시 강서구 양천로57길 13, 지하 2층 201-1호 (가양동, 2동 씨드가양플라자)",186856.9376,451268.3893
서울특별시 강서구 화곡동 1116-3번지 삼보프라자 (지하 1층) ,"서울특별시 강서구 화곡로 330, 지하 1층 (화곡동, 6동 삼보프라자)",186780.4702,450119.9393
서울특별시 강서구 화곡동 343-59 (지하 1층),"서울특별시 강서구 강서로 35, 지하 1층 (화곡동, 1동)",186395.3257,447653.0618
서울특별시 강서구 화곡동 343-61 (지하 1층),"서울특별시 강서구 강서로 33, 지하 1층 (화곡동, 1동)",186410.0292,447620.8114
서울특별시 강서구 화곡동 902-10번지 (지하 1층) ,"서울특별시 강서구 강서로7길 19, 지하 1층 (화곡동, 1동)",186380.6346,447481.2101
서울특별시 강서구 화곡동 901-27 지하1층(화곡1동),"서울특별시 강서구 강서로7길 31, 지하1층 (화곡동, 화곡1동)",186318.4498,447470.9747
"서울특별시 강서구 화곡동 936-4번지 1동, 지하1층 ","서울특별시 강서구 강서로7길 136, 지하1층 (화곡동, 1동)",185799.5271,447417.8899
서울특별시 강서구 화곡동 903-10번지 (지상 2층) ,"서울특별시 강서구 곰달래로24길 27, 2층 (화곡동, 1동)",186437.39,447472.6707
서울특별시 강서구 화곡동 903-10번지 (지상 3층) ,"서울특별시 강서구 곰달래로24길 27, 3층 (화곡동, 1동)",186437.39,447472.6707
서울특별시 강서구 화곡동 903-10번지 (지상 4층) ,"서울특별시 강서구 곰달래로24길 27, 4층 (화곡동, 1동)",186437.39,447472.6707
서울특별시 강서구 화곡동 903-10 (지하 1층),"서울특별시 강서구 곰달래로24길 27, 지하 1층 (화곡동, 1동)",186437.39,447472.6707
"서울특별시 강서구 화곡동 343-61번지 지하1층, 1동 ","서울특별시 강서구 강서로 33, 지하1층 (화곡동, 1동)",186410.0292,447620.8114
서울특별시 강서구 화곡동 901-16 (지하 1층) ,"서울특별시 강서구 강서로7길 27, 지하 1층 (화곡동, 1동)",186338.4359,447474.8159
서울특별시 강서구 화곡동 1117-7 (지하 1층 중 2층),"서울특별시 강서구 공항대로46길 90, 지일중 이층 (화곡동, 6동)",186742.6244,450021.6833
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지하 1층) 101호,"서울특별시 강서구 마곡중앙6로 89, 지하 1층 101호 (마곡동, 가양 1동 뉴골든타워)",185553,450880
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지하 1층) 102호,"서울특별시 강서구 마곡중앙6로 89, 지하 1층 102호 (마곡동, 가양 1동 뉴골든타워)",185553,450880
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지하 1층) 102-1호,"서울특별시 강서구 마곡중앙6로 89, 지하 1층 102-1호 (마곡동, 가양 1동 뉴골든타워)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지하 1층) 103호,"서울특별시 강서구 마곡중앙6로 89, 지하 1층 103호 (마곡동, 가양 1동 뉴골든타워)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 6층) 601-1호,"서울특별시 강서구 마곡중앙6로 89, 6층 601-1호 (마곡동, 가양 1동 뉴골든타워)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 6층) 601호,"서울특별시 강서구 마곡중앙6로 89, 6층 601호 (마곡동, 가양 1동 뉴골든타워)",185554.2994,450891.3124
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 6층) 604호,"서울특별시 강서구 마곡중앙6로 89, 6층 604호 (마곡동, 가양 1동 뉴골든타워)",185553,450880
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 6층) 603호,"서울특별시 강서구 마곡중앙6로 89, 6층 603호 (마곡동, 가양 1동 뉴골든타워)",185553,450880
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 6층) 603-1호,"서울특별시 강서구 마곡중앙6로 89, 6층 603-1호 (마곡동, 가양 1동 뉴골든타워)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 6층) 602호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 6층 602호 (마곡동)",185554.2994,450891.3124
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 6층) 602-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 6층 602-1호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 8층) 801호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 8층 801호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 7층) 704호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 7층 704호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 7층) 703호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 7층 703호 (마곡동)",185554.2994,450891.3124
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 7층) 703-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 7층 703-1호 (마곡동)",185554.2994,450891.3124
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 5층) 502호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 502호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 5층) 502-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 502-1호 (마곡동)",185554.2994,450891.3124
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 8층) 802호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 8층 802호 (마곡동)",185554.2994,450891.3124
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 8층) 804호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 8층 804호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 8층) 802-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 8층 802-1호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 5층) 503호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 503호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 5층) 503-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 503-1호 (마곡동)",185554.2994,450891.3124
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 7층) 701호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 7층 701호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 7층) 702A호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 7층 702A호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 7층) 702호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 7층 702호 (마곡동)",185554.2994,450891.3124
서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 8층) 803호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 8층 803호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6번지 뉴골든타워 (지상 8층) 803-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 8층 803-1호 (마곡동)",185553,450880
서울특별시 강서구 화곡동 915-35번지 ,"서울특별시 강서구 강서로7길 85, 지하1층 (화곡동)",186052.3505,447441.468
서울특별시 강서구 마곡동 795-6 뉴골든타워 ,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 501호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워 ,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 501-1호 (마곡동)",185553,450880
서울특별시 강서구 마곡동 795-6 뉴골든타워,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 지하1층 104호 (마곡동)",185554.2994,450891.3124
서울특별시 강서구 화곡동 915-10 ,"서울특별시 강서구 강서로7길 67, 지하1층 (화곡동)",186140.5639,447451.0515
서울특별시 강서구 마곡동 795-6 뉴골든타워,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 지상5층 504호 (마곡동)",185554.2994,450891.3124
서울특별시 강서구 화곡동 935-1 지상4층 ,"서울특별시 강서구 곰달래로16길 32, 4층 (화곡동)",185803.6118,447396.4592
서울특별시 강서구 화곡동 935-1 ,"서울특별시 강서구 곰달래로16길 32, 3층 (화곡동)",185803.6118,447396.4592
서울특별시 강서구 화곡동 935-1,"서울특별시 강서구 곰달래로16길 32, 2층 (화곡동)",185803.6118,447396.4592
서울특별시 강서구 화곡동 935-1 (지하 1층),"서울특별시 강서구 곰달래로16길 32, 지하 1층 (화곡동)",185803.6118,447396.4592
서울특별시 강서구 화곡동 901-15 시온빌딩 401호,"서울특별시 강서구 강서로7길 35, 시온빌딩 401호 (화곡동)",186301.6878,447468.616
서울특별시 강서구 화곡동 901-15 시온빌딩 301호,"서울특별시 강서구 강서로7길 35, 시온빌딩 3층 301호 (화곡동)",186301.6878,447468.616
서울특별시 강서구 화곡동 901-15 시온빌딩 201호,"서울특별시 강서구 강서로7길 35, 시온빌딩 2층 201호 (화곡동)",186301.6878,447468.616
서울특별시 강서구 화곡동 901-15 시온빌딩 지하1층,"서울특별시 강서구 강서로7길 35, 시온빌딩 지하1층 (화곡동)",186301.6878,447468.616
서울특별시 강서구 화곡동 901-15 시온빌딩 501호,"서울특별시 강서구 강서로7길 35, 시온빌딩 5층 501호 (화곡동)",186301.6878,447468.616
서울특별시 강서구 화곡동 902-10 2층,"서울특별시 강서구 강서로7길 19, 2층 (화곡동)",186380.6346,447481.2101
서울특별시 강서구 화곡동 936-3 3층,"서울특별시 강서구 곰달래로16길 26, 3층 (화곡동)",185799.4196,447429.6748
서울특별시 강서구 화곡동 936-3 4층,"서울특별시 강서구 곰달래로16길 26, 4층 (화곡동)",185799.4196,447429.6748
서울특별시 강서구 화곡동 901-1 네스트인 Bo1호,"서울특별시 강서구 강서로7길 23, 네스트인 B01호 (화곡동)",186354.6629,447475.1025
