연번,기관명,시설명,주소
1,경찰청,다산치안센터,서울 중구 동호로 14길 18
2,경찰청,DDP치안센터,서울 중구 을지로 281
3,경찰청,충4치안센터,서울 중구 충무로2길 39
4,경찰청,구기치안센터,서울 종로구 비봉길 13
5,경찰청,북아현치안센터,서울 서대문구 북아현로 59-1번지
6,경찰청,신촌치안센터,서울 서대문구 신촌로 105번지
7,경찰청,종로3가치안센터,서울 종로구 돈화문로 28
8,경찰청,청파치안센터,서울 용산구 청파로 274-2
9,경찰청,남영치안센터,서울 용산구 한강대로 102길11-5
10,경찰청,용산치안센터,서울 용산구 신흥로 90
11,경찰청,한남2치안센터,서울 용산구 이태원로 281
12,경찰청,이촌치안센터,서울 용산구 이촌로71길 24
13,경찰청,돈암치안센터,서울 성북구 성북로 4길 52
14,경찰청,보문치안센터,서울 성북구 보문로 13길 27
15,경찰청,삼선치안센터,서울 성북구 보문로29길 92
16,경찰청,길음1치안센터,서울 성북구 정릉로 31길 30 
17,경찰청,정릉1치안센터,서울 성북구 동소문로 258
18,경찰청,정릉3치안센터,서울 성북구 정릉로 10길 44
19,경찰청,정릉4치안센터,서울 성북구 보국문로 87
20,경찰청,성북1치안센터,서울 성북로 25
21,경찰청,답십리1치안센터,서울 동대문 고미술로 93
22,경찰청,답십리2치안센터,서울 동대문 한천로11길 30
23,경찰청,신설치안센터,서울 동대문구 왕산로 5
24,경찰청,용두치안센터,서울 동대문구 왕산로 95
25,경찰청,전농4치안센터,서울 동대문구 서울시립대로 14길 31
26,경찰청,남장안치안센터,서울 동대문구 한천로 10길 4
27,경찰청,장안3치안센터,서울 동대문구 장한로18길 78
28,경찰청,이문2치안센터,서울 동대문구 이문로 196
29,경찰청,휘경2치안센터,서울 동대문구 망우로 20길 4
30,경찰청,아현치안센터,서울 마포구 환일길 3
31,경찰청,도화치안센터,서울 마포구 도화길 40
32,경찰청,대흥치안센터,서울 마포구 대흥로 85
33,경찰청,노고산치안센터,서울 마포구 신촌로18길 26
34,경찰청,서교치안센터,서울 마포구 잔다리로 6길 29
35,경찰청,동교치안센터,서울 마포구 신촌로2안길 27
36,경찰청,망원2치안센터,서울 마포구 월드컵로 31길 18
37,경찰청,영2치안센터,서울 영등포구 버드나루로 1-1
38,경찰청,도림치안센터,서울 영등포구 도신로 29길 13
39,경찰청,신길3치안센터,서울 영등포구 신길로 179-2
40,경찰청,신길5치안센터,서울 영등포구 신길로 23길 12
41,경찰청,양평2치안센터,서울 영등포구 선유로 53길 23
42,경찰청,동마치안센터,서울 성동구 마장로42길 11
43,경찰청,마장치안센터,서울 성동구 고산자로 332
44,경찰청,뚝섬치안센터,서울 성동구 왕십리로5길 3
45,경찰청,성수1치안센터,서울 성동구 뚝섬로 364-1
46,경찰청,하왕치안센터,서울 성동구 왕십리로 341
47,경찰청,금남치안센터,서울 성동구 독서당로 286-1
48,경찰청,노들치안센터,서울 동작구 노량진로 248
49,경찰청,흑석2치안센터,서울 동작구 현충로140-1
50,경찰청,상도2치안센터,서울 동작구 장승배기로 73
51,경찰청,상도4치안센터,서울 동작구 성대로29길 61
52,경찰청,상도1치안센터,서울 동작구 상도로 62길 1
53,경찰청,사당3치안센터,서울 동작구 사당로17길 4
54,경찰청,사당4치안센터,서울 동작구 사당로 16아길 6
55,경찰청,사당5치안센터,서울 동작구 사당로 138
56,경찰청,신대방2치안센터,서울 동작구 여의대방로 24길 106
57,경찰청,상도3치안센터,서울 동작구 상도로 87
58,경찰청,자양2치안센터,서울 광진구 자양로3가길 28
59,경찰청,구의3치안센터,서울 광진구 광나루로56길 4
60,경찰청,신사1치안센터,서울 은평구 은평로 28
61,경찰청,증산치안센터,서울 은평구 증산서길 82
62,경찰청,수색치안센터,서울 은평구 수색로 261
63,경찰청,응암4치안센터,서울 은평구 가좌로7라길 1
64,경찰청,역촌1치안센터,서울 은평구 연서로6길 19
65,경찰청,동화치안센터,서울 강북구 솔매로49길 14
66,경찰청,미아3치안센터,서울 강북구 삼양로54길 51
67,경찰청,숭인치안센터,서울 강북구 도봉로 39
68,경찰청,우이치안센터,서울 강북구 우이동 4-2
69,경찰청,수유6치안센터,서울 강북구 삼양로 457
70,경찰청,독산3치안센터,서울 금천구 문성로 38
71,경찰청,독산본치안센터,서울 금천구 시흥대로 148길 21-5
72,경찰청,시흥4치안센터,서울 금천구 독산로50길 105
73,경찰청,시흥5치안센터,서울 금천구 금하로24다길 7
74,경찰청,시흥본치안센터,서울 금천구 금하로 11길 40
75,경찰청,시흥3치안센터,서울 금천구 시흥대로37길 18
76,경찰청,신독산치안센터,서울 금천구 한내로 69-17
77,경찰청,망우1치안센터,서울 중랑구 용마산로118길 103
78,경찰청,망우3치안센터,서울 중랑구 용마공원로5길 13
79,경찰청,면목4치안센터,서울 중랑구 답십리로 75길 61
80,경찰청,면목7치안센터,서울 중랑구 면목로 275
81,경찰청,면목2치안센터,서울 중랑구 봉우재로6길 5
82,경찰청,상봉2치안센터,서울 중랑구 봉우재로 93-5
83,경찰청,면목1치안센터,서울 중랑구 면목로66길 7
84,경찰청,면목8치안센터,서울 중랑구 용마산로 370
85,경찰청,중화1치안센터,서울 중랑구 동일로 792
86,경찰청,코엑스치안센터,서울 영동대로 513
87,경찰청,청담2치안센터,서울 강남구 삼성로 761
88,경찰청,압구정치안센터,서울 강남구 압구정로 33길 48
89,경찰청,보라매치안센터,서울 관악구 봉천로 279
90,경찰청,행운치안센터,서울 관악구 남부순환로239길 8
91,경찰청,인헌치안센터,서울 관악구 인헌6길 23
92,경찰청,서원치안센터,서울 관악구 신원로 36
93,경찰청,신원치안센터,서울 관악구 문성로25길 12-15
94,경찰청,청룡2치안센터,서울 관악구 참숯1길 33
95,경찰청,대학동치안센터,서울 관악구 대학길 48
96,경찰청,청림치안센터,서울 관악구 청림3마길 14-1
97,경찰청,난곡치안센터,서울 관악구 난곡로 180-1
98,경찰청,화곡본동치안센터,서울 강서구 까치산로 51
99,경찰청,개화2치안센터,서울 강서구 개화동로 275-1
100,경찰청,천호2치안센터,서울 강동구 천중로 11-14
101,경찰청,천호3치안센터,서울 강동구 천호동 천호대로 159길7
102,경찰청,길동2치안센터,서울 강동구 천호대로 197길 96
103,경찰청,암사1치안센터,서울 강동구 올림픽로 98가길 57
104,경찰청,천호1치안센터,서울 강동구 구천면로42길 59
105,경찰청,성내2치안센터,서울 강동구 천호옛길 68-1
106,경찰청,명일1치안센터,서울 강동구 양재대로 138길37
107,경찰청,석관1치안센터,서울 성북구 한천로76길11
108,경찰청,장위1치안센터,서울 성북구 장위로 82
109,경찰청,장위3치안센터,서울 성북구 한천로 701
110,경찰청,월곡2치안센터,서울 성북구 화랑로 98
111,경찰청,길음2치안센터,서울 성북구 삼양로2길 70
112,경찰청,종암2치안센터,서울 성북구 종암로 88
113,경찰청,구로치안센터,서울 구로구 경인로 577
114,경찰청,신도림치안센터,서울 구로구 신도림로 40
115,경찰청,구로1치안센터,서울 구로구 구일로 52
116,경찰청,구로2치안센터,서울 구로구 구로동로 141
117,경찰청,고척1치안센터,서울 구로구 중앙로 3
118,경찰청,개봉1치안센터,서울 구로구 고척로27길 27
119,경찰청,개봉치안센터,서울 구로구 경인로 293
120,경찰청,개봉3치안센터,서울 구로구 개봉로 1가길 28
121,경찰청,수궁치안센터,서울 구로구 부일로 1길 68
122,경찰청,반포치안센터,서울 서초구 주흥15길 41
123,경찰청,잠원치안센터,서울 서초구 나루터로 38
124,경찰청,방서치안센타,서울 서초구 명달로 55
125,경찰청,내곡치안센터,서울 서초구 염곡말길 9
126,경찰청,우면치안센터,서울 서초구 바우뫼로 45
127,경찰청,목6치안센터,서울 양천구 목동서로 11
128,경찰청,목2치안센터,서울 양천구 목동중앙본로 27길 25
129,경찰청,목4치안센터,서울 양천구목동중앙로23
130,경찰청,신정7치안센터,서울 양천구 목동남로93
131,경찰청,신정2치안센터,서울 양천구 목동동로 152
132,경찰청,신월4치안센터,서울 양천구 오목로5길 34
133,경찰청,신월3치안센터,서울 양천구 가로공원로 101
134,경찰청,송파1치안센터,서울 송파구 백제고분로 392
135,경찰청,잠실본동치안센터,서울 송파구 백제고분로 15길 5
136,경찰청,잠실5치안센터,서울 송파구 잠실로 51-29
137,경찰청,석촌치안센터,서울 송파구 백제고분로 37길 20
138,경찰청,가락2치안센터,서울 송파구 오금로 46길 55
139,경찰청,문정2치안센터,서울 송파구 중대로 18
140,경찰청,마천1치안센터,서울 송파구 성내천로 43가길 14-1
141,경찰청,풍납1치안센터,서울 송파구 풍성로 25길 17
142,경찰청,월드치안센터,서울 송파구 송파대로 567 지하1층
143,경찰청,장지치안센터,서울 송파구 성남대로 1576
144,경찰청,하계1치안센터,서울 노원구 공릉로 290
145,경찰청,월계치안센터,서울 노원구 석계로 93
146,경찰청,월계2치안센터,서울 노원구 초안산로 2
147,경찰청,월계3치안센터,서울 노원구 마들로 55
148,경찰청,공릉치안센터,서울 노원구 공릉로 189
149,경찰청,중계본치안센터,서울 노원구 중계로 139
150,경찰청,상계4치안센터,서울 노원구 상계로35길29
151,경찰청,상계8치안센터,서울 노원구 동일로227길97
152,경찰청,방배3치안센터,서울 서초구 방배로 40
153,경찰청,구반포치안센터,서울 서초구 신반포로15길 14
154,경찰청,방배4치안센터,서울 서초구 방배중앙로 131
155,경찰청,불광1치안센터,서울 은평구 불광로 129
156,경찰청,불광2치안센터,서울 은평구 통일로 914
157,경찰청,구산치안센터,서울 은평구 갈현로 151
158,경찰청,갈현치안센터,서울 은평구 갈현로 41길 3
159,경찰청,신도치안센터,서울 은평구 진관2로 125
160,경찰청,상림치안센터,서울 은평구 진관4로 48-25
161,경찰청,방학2치안센터,서울 도봉구 방학로 12길 18
162,경찰청,도곡치안센터,서울 강남구 남부순환로378길29
163,경찰청,역서치안센터,서울 강남구 역삼로 117
164,경찰청,은마치안센터,서울 강남구 삼성로 236
165,경찰청,수서역치안센터,서울 강남구 밤고개로 99
982,소방청,세종로119안전센터,서울특별시 종로구 율곡로 78(운니동 114-2)
983,소방청,신교119안전센터,서울특별시 종로구 자하문로 93 (신교동)
984,소방청,종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동)
985,소방청,연건119안전센터,서울특별시 종로구 대학로 91 (연건동)
986,소방청,신영119안전센터,서울특별시 종로구 진흥로 477 (신영동)
987,소방청,숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동)
988,소방청,을지로119안전센터,서울특별시 중구 을지로45길 43(신당동)
989,소방청,무학119안전센터,서울특별시 중구 퇴계로 394 (무학동)
990,소방청,충무로119안전센터,서울특별시 중구 충무로 11(충무로3가)
991,소방청,회현119안전센터,서울특별시 중구 소공로 30(회현동2가)
992,소방청,신당119안전센터,서울특별시 중구 다산로8길 2(신당동)
993,소방청,구의119안전센터,서울특별시 광진구 광나루로 480 (구의동)
994,소방청,능동119안전센터,서울특별시 광진구 능동로 242 (능동)
995,소방청,중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동)
996,소방청,한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가)
997,소방청,이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동)
998,소방청,후암119안전센터,서울특별시 용산구 후암로 34 (후암동)
999,소방청,이촌119안전센터,서울특별시 용산구 이촌로2가길 1 (이촌동)
1000,소방청,서빙고119안전센터,서울특별시 용산구 서빙고로67길 7 (서빙고동)
1001,소방청,장안119안전센터,서울특별시 동대문구 장한로 34 (장안동)
1002,소방청,청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동)
1003,소방청,전농119안전센터,서울특별시 동대문구 황물로 3 (전농동)
1004,소방청,용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동)
1005,소방청,휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동)
1006,소방청,영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가)
1007,소방청,여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동)
1008,소방청,당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가)
1009,소방청,대림119안전센터,서울특별시 영등포구 도림로 212 (신길동)
1010,소방청,신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동)
1011,소방청,종암119안전센터,서울특별시 성북구 종암로27길 3 (종암동)
1012,소방청,돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가)
1013,소방청,길음119안전센터,서울특별시 성북구 정릉로 321 (길음동)
1014,소방청,장위119안전센터,서울특별시 성북구 한천로 640 (장위동)
1015,소방청,진관119안전센터,서울특별시 은평구 통일로 962 (진관동)
1016,소방청,녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동)
1017,소방청,역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동)
1018,소방청,수색119안전센터,서울특별시 은평구 수색로 320 (수색동)
1019,소방청,삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동)
1020,소방청,영동119안전센터,서울특별시 강남구 도산대로 320 (논현동)
1021,소방청,역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동)
1022,소방청,수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동)
1023,소방청,개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동)
1024,소방청,세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동)
1025,소방청,반포119안전센터,서울특별시 서초구 사평대로 67 (반포동)
1026,소방청,방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동)
1027,소방청,양재119안전센터,서울특별시 서초구 동산로 9 (양재동)
1028,소방청,서초119안전센터,서울특별시 서초구 효령로 400 (서초동)
1029,소방청,잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동)
1030,소방청,우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동)
1031,소방청,등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동)
1032,소방청,화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동)
1033,소방청,발산119안전센터,서울특별시 강서구 강서로 329 (내발산동)
1034,소방청,방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동)
1035,소방청,개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동)
1036,소방청,마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동)
1037,소방청,성내119안전센터,서울특별시 강동구 성내로 39 (성내동)
1038,소방청,천호119안전센터,서울특별시 강동구 진황도로 37 (천호동)
1039,소방청,고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동)
1040,소방청,암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동)
1041,소방청,길동119안전센터,서울특별시 강동구 천중로 215 (길동)
1042,소방청,강일119안전센터,서울특별시 강동구 고덕로98길 22 (강일동)
1043,소방청,신수119안전센터,서울특별시 마포구 창전로 76 (신수동)
1044,소방청,염리119안전센터,서울특별시 마포구 토정로 37길 27 (염리동)
1045,소방청,서교119안전센터,서울특별시 마포구 양화로 60 (서교동)
1046,소방청,성산119안전센터,서울특별시 마포구 월드컵북로 240 (성산동)
1047,소방청,공덕119안전센터,서울특별시 마포구 만리재옛길 82 (공덕동)
1048,소방청,상암119안전센터,서울 마포구 월드컵로42길 34
1049,소방청,방학119안전센터,서울특별시 도봉구 도봉로 666 (방학동)
1050,소방청,도봉119안전센터,서울특별시 도봉구 도봉로 721 (방학동)
1051,소방청,창동119안전센터,서울특별시 도봉구 해등로 25 (창동)
1052,소방청,쌍문119안전센터,서울특별시 도봉구 노해로 152 (쌍문동)
1053,소방청,수궁119안전센터,서울특별시 구로구 오리로 1285 (궁동)
1054,소방청,고일119안전센터,서울특별시 구로구 경인로 408 (고척동)
1055,소방청,고척119안전센터,서울특별시 구로구 고척로 195 (고척동)
1056,소방청,구로119안전센터,서울특별시 구로구 구로동로 175 (구로동)
1057,소방청,신도림119안전센터,서울특별시 구로구 경인로59길 57 (신도림동)
1058,소방청,공단119안전센터,서울특별시 구로구 디지털로34길 56 (구로동)
1059,소방청,하계119안전센터,서울특별시 노원구 한글비석로1길 8 (하계동)
1060,소방청,상계119안전센터,서울특별시 노원구 노원로26길 111 (상계동)
1061,소방청,공릉119안전센터,서울특별시 노원구 화랑로 482 (공릉동)
1062,소방청,월계119안전센터,서울특별시 노원구 월계로 323 (월계동)
1063,소방청,수락119안전센터,서울특별시 노원구 동일로 1694 (상계동)
1064,소방청,관악119안전센터,서울특별시 관악구 관악로 97 (봉천동)
1065,소방청,봉천119안전센터,서울특별시 관악구 은천로 54 (봉천동)
1066,소방청,신림119안전센터,서울특별시 관악구 봉천로 202 (신림동)
1067,소방청,난곡119안전센터,서울특별시 관악구 난곡로 243 (신림동)
1068,소방청,마천119안전센터,서울특별시 송파구 오금로51길 56 (마천동)
1069,소방청,거여119안전센터,서울특별시 송파구 마천로 329 (마천동)
1070,소방청,방이119안전센터,서울특별시 송파구 강동대로 286 (방이동)
1071,소방청,잠실119안전센터,서울특별시 송파구 석촌호수로 151 (잠실동)
1072,소방청,종합운동장119안전센터,서울특별시 송파구 올림픽로 25 (잠실동)
1073,소방청,가락119안전센터,서울특별시 송파구 양재대로 932 (가락동)
1074,소방청,양천119안전센터,서울특별시 양천구 목동서로 180 (목동)
1075,소방청,신정119안전센터,서울특별시 양천구 신월로 268 (신정동)
1076,소방청,목동119안전센터,서울특별시 양천구 안양천로 1139 (목동)
1077,소방청,신월119안전센터,서울특별시 양천구 남부순환로 448 (신월동)
1078,소방청,신트리119안전센터,서울특별시 양천구 신정로 238 (신정동)
1079,소방청,신내119안전센터,서울특별시 중랑구 신내로 183 (신내동)
1080,소방청,면목119안전센터,서울특별시 중랑구 동일로 475 (면목동)
1081,소방청,망우119안전센터,서울특별시 중랑구 용마산로 524 (망우동)
1082,소방청,중화119안전센터,서울특별시 중랑구 동일로 783 (중화동)
1083,소방청,동작119안전센터,서울특별시 동작구 여의대방로16길 55 (신대방동)
1084,소방청,노량진119안전센터,서울특별시 동작구 노량진로 187 (노량진동)
1085,소방청,상도119안전센터,서울특별시 동작구 국사봉1길 17 (상도동)
1086,소방청,백운119안전센터,서울특별시 동작구 사당로 63 (상도동)
1087,소방청,연희119안전센터,서울특별시 서대문구 연희로 182 (연희동)
1088,소방청,북가좌119안전센터,서울특별시 서대문구 증가로 242 (북가좌동)
1089,소방청,홍은119안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동)
1090,소방청,북아현119안전센터,서울특별시 서대문구 북아현로 37 (북아현동)
1091,소방청,번동119안전센터,서울특별시 강북구 한천로 911 (번동)
1092,소방청,우이119안전센터,서울특별시 강북구 삼각산로 111 (수유동)
1093,소방청,미아119안전센터,서울특별시 강북구 도봉로 125 (미아동)
1094,소방청,삼각산119안전센터,서울특별시 강북구 솔샘로 208 (미아동)
1095,소방청,행당119안전센터,서울특별시 성동구 살곶이길 331(행당동)
1096,소방청,성수119안전센터,서울특별시 성동구 뚝섬로 452(성수동2가)
1097,소방청,왕십리119안전센터,서울특별시 성동구 고산자로 249(도선동)
1098,소방청,금호119안전센터,서울특별시 성동구 난계로 19(금호동1가)
1099,소방청,시흥119안전센터,서울특별시 금천구 시흥대로45길 31 시흥119안전센터
1100,소방청,금천119안전센터,서울특별시 금천구 시흥대로 342(독산2동)
