행정구역,2024년02월_거주자_총인구수,2024년02월_거주자_연령구간인구수,2024년02월_거주자_0~4세,2024년02월_거주자_5~9세,2024년02월_거주자_10~14세,2024년02월_거주자_15~19세,2024년02월_거주자_20~24세,2024년02월_거주자_25~29세,2024년02월_거주자_30~34세,2024년02월_거주자_35~39세,2024년02월_거주자_40~44세,2024년02월_거주자_45~49세,2024년02월_거주자_50~54세,2024년02월_거주자_55~59세,2024년02월_거주자_60~64세,2024년02월_거주자_65~69세,2024년02월_거주자_70~74세,2024년02월_거주자_75~79세,2024년02월_거주자_80~84세,2024년02월_거주자_85~89세,2024년02월_거주자_90~94세,2024년02월_거주자_95~99세,2024년02월_거주자_100세 이상,2024년02월_남_거주자_총인구수,2024년02월_남_거주자_연령구간인구수,2024년02월_남_거주자_0~4세,2024년02월_남_거주자_5~9세,2024년02월_남_거주자_10~14세,2024년02월_남_거주자_15~19세,2024년02월_남_거주자_20~24세,2024년02월_남_거주자_25~29세,2024년02월_남_거주자_30~34세,2024년02월_남_거주자_35~39세,2024년02월_남_거주자_40~44세,2024년02월_남_거주자_45~49세,2024년02월_남_거주자_50~54세,2024년02월_남_거주자_55~59세,2024년02월_남_거주자_60~64세,2024년02월_남_거주자_65~69세,2024년02월_남_거주자_70~74세,2024년02월_남_거주자_75~79세,2024년02월_남_거주자_80~84세,2024년02월_남_거주자_85~89세,2024년02월_남_거주자_90~94세,2024년02월_남_거주자_95~99세,2024년02월_남_거주자_100세 이상,2024년02월_여_거주자_총인구수,2024년02월_여_거주자_연령구간인구수,2024년02월_여_거주자_0~4세,2024년02월_여_거주자_5~9세,2024년02월_여_거주자_10~14세,2024년02월_여_거주자_15~19세,2024년02월_여_거주자_20~24세,2024년02월_여_거주자_25~29세,2024년02월_여_거주자_30~34세,2024년02월_여_거주자_35~39세,2024년02월_여_거주자_40~44세,2024년02월_여_거주자_45~49세,2024년02월_여_거주자_50~54세,2024년02월_여_거주자_55~59세,2024년02월_여_거주자_60~64세,2024년02월_여_거주자_65~69세,2024년02월_여_거주자_70~74세,2024년02월_여_거주자_75~79세,2024년02월_여_거주자_80~84세,2024년02월_여_거주자_85~89세,2024년02월_여_거주자_90~94세,2024년02월_여_거주자_95~99세,2024년02월_여_거주자_100세 이상
강서구,"558,886","558,886","13,150","17,485","20,343","21,196","29,199","49,218","53,295","42,385","45,566","40,026","43,455","38,998","42,221","37,831","25,408","18,319","11,969","6,016","2,189",536,81,"267,626","267,626","6,692","8,882","10,510","10,793","13,489","21,904","26,170","21,562","23,132","19,780","21,525","18,524","19,619","17,213","11,710","8,500","4,947","2,005",561,92,16,"291,260","291,260","6,458","8,603","9,833","10,403","15,710","27,314","27,125","20,823","22,434","20,246","21,930","20,474","22,602","20,618","13,698","9,819","7,022","4,011","1,628",444,65
염창동,"41,098","41,098","1,457","1,944","2,264","2,083","2,165","3,088","3,717","3,505","3,868","3,404","3,460","2,672","2,531","1,965","1,285",779,550,250,91,19,1,"19,730","19,730",727,"1,011","1,168","1,059","1,074","1,318","1,660","1,650","1,866","1,667","1,712","1,314","1,206",951,623,379,226,89,27,3,0,"21,368","21,368",730,933,"1,096","1,024","1,091","1,770","2,057","1,855","2,002","1,737","1,748","1,358","1,325","1,014",662,400,324,161,64,16,1
등촌제1동,"24,836","24,836",689,551,507,616,"1,352","3,317","3,869","2,778","2,011","1,466","1,615","1,419","1,390","1,097",700,541,419,315,139,33,12,"11,483","11,483",348,290,272,366,572,"1,285","1,726","1,330","1,052",741,785,657,650,516,324,246,159,105,46,5,8,"13,353","13,353",341,261,235,250,780,"2,032","2,143","1,448",959,725,830,762,740,581,376,295,260,210,93,28,4
등촌제2동,"19,165","19,165",413,528,654,733,"1,041","1,642","1,842","1,431","1,443","1,293","1,487","1,471","1,630","1,353",952,602,367,194,71,16,2,"9,313","9,313",220,288,370,416,541,764,911,729,735,619,697,659,758,617,444,306,154,70,13,2,0,"9,852","9,852",193,240,284,317,500,878,931,702,708,674,790,812,872,736,508,296,213,124,58,14,2
등촌제3동,"29,182","29,182",647,756,732,878,"1,344","1,871","2,465","2,084","1,952","1,627","2,094","2,325","2,916","2,687","1,708","1,242",927,613,239,67,8,"13,721","13,721",315,397,381,441,702,886,"1,206","1,070",979,787,948,"1,052","1,395","1,218",810,559,330,169,59,16,1,"15,461","15,461",332,359,351,437,642,985,"1,259","1,014",973,840,"1,146","1,273","1,521","1,469",898,683,597,444,180,51,7
화곡제1동,"50,328","50,328",895,"1,050","1,020","1,169","2,649","6,192","6,004","4,108","4,025","3,208","3,578","3,514","3,735","3,405","2,353","1,745","1,028",462,151,32,5,"24,404","24,404",449,525,532,579,"1,133","2,766","3,177","2,242","2,113","1,641","1,818","1,644","1,717","1,485","1,063",839,456,177,41,7,0,"25,924","25,924",446,525,488,590,"1,516","3,426","2,827","1,866","1,912","1,567","1,760","1,870","2,018","1,920","1,290",906,572,285,110,25,5
화곡제2동,"16,937","16,937",283,509,619,646,933,"1,387","1,408","1,142","1,406","1,316","1,505","1,280","1,329","1,181",822,592,369,154,41,14,1,"8,126","8,126",130,259,329,316,453,683,748,615,698,652,713,590,594,485,368,258,172,54,7,2,0,"8,811","8,811",153,250,290,330,480,704,660,527,708,664,792,690,735,696,454,334,197,100,34,12,1
화곡제3동,"20,987","20,987",384,588,750,820,"1,117","1,844","1,724","1,339","1,548","1,494","1,625","1,516","1,688","1,722","1,175",834,502,214,87,13,3,"9,996","9,996",194,310,421,416,522,815,832,669,757,735,773,698,816,768,554,413,210,67,23,3,0,"10,991","10,991",190,278,329,404,595,"1,029",892,670,791,759,852,818,872,954,621,421,292,147,64,10,3
화곡제4동,"19,494","19,494",352,441,555,648,916,"1,523","1,570","1,328","1,583","1,394","1,651","1,594","1,692","1,537","1,080",795,501,238,82,14,0,"9,570","9,570",179,251,297,345,459,780,852,696,848,696,797,754,783,670,482,366,201,84,28,2,0,"9,924","9,924",173,190,258,303,457,743,718,632,735,698,854,840,909,867,598,429,300,154,54,12,0
화곡본동,"32,763","32,763",549,842,"1,063","1,109","1,821","3,663","3,664","2,431","2,678","2,346","2,511","2,249","2,348","2,103","1,354","1,004",623,279,100,19,7,"15,834","15,834",301,426,571,573,824,"1,656","1,912","1,305","1,405","1,163","1,260","1,037","1,046",935,590,454,260,91,20,5,0,"16,929","16,929",248,416,492,536,997,"2,007","1,752","1,126","1,273","1,183","1,251","1,212","1,302","1,168",764,550,363,188,80,14,7
화곡제6동,"25,841","25,841",741,668,616,804,"1,407","2,928","2,920","2,157","1,887","1,650","1,865","1,785","1,978","1,759","1,144",726,464,235,86,19,2,"12,340","12,340",385,324,335,437,616,"1,247","1,383","1,100","1,025",837,891,853,891,812,551,350,206,76,19,2,0,"13,501","13,501",356,344,281,367,791,"1,681","1,537","1,057",862,813,974,932,"1,087",947,593,376,258,159,67,17,2
화곡제8동,"23,237","23,237",376,504,647,762,"1,259","2,254","2,185","1,541","1,854","1,654","1,858","1,708","1,864","1,696","1,220",951,590,232,64,15,3,"11,210","11,210",189,256,321,401,588,"1,093","1,127",858,974,859,901,770,800,721,531,448,260,95,14,3,1,"12,027","12,027",187,248,326,361,671,"1,161","1,058",683,880,795,957,938,"1,064",975,689,503,330,137,50,12,2
가양제1동,"33,636","33,636",674,653,764,894,"2,190","5,517","5,597","3,306","2,533","1,899","2,153","1,895","2,005","1,549",825,533,356,208,60,19,6,"15,072","15,072",335,347,399,444,676,"1,874","2,486","1,687","1,248",964,"1,076",908,929,783,410,262,156,68,18,1,1,"18,564","18,564",339,306,365,450,"1,514","3,643","3,111","1,619","1,285",935,"1,077",987,"1,076",766,415,271,200,140,42,18,5
가양제2동,"13,303","13,303",200,210,184,191,416,883,"1,192",975,794,546,700,904,"1,514","1,646","1,119",782,570,320,123,32,2,"6,235","6,235",106,110,89,114,203,374,555,511,403,259,353,420,707,807,546,350,216,82,24,6,0,"7,068","7,068",94,100,95,77,213,509,637,464,391,287,347,484,807,839,573,432,354,238,99,26,2
가양제3동,"13,971","13,971",415,206,164,230,443,773,"1,569","1,300","1,025",761,848,991,"1,282","1,347","1,006",732,532,238,80,28,1,"6,406","6,406",206,102,81,125,216,340,716,675,547,390,417,479,563,561,432,296,174,64,19,3,0,"7,565","7,565",209,104,83,105,227,433,853,625,478,371,431,512,719,786,574,436,358,174,61,25,1
발산제1동,"35,393","35,393",837,"1,435","2,405","2,431","2,232","1,994","1,877","1,862","2,992","3,355","3,471","2,568","2,440","1,932","1,316","1,082",673,318,137,30,6,"16,693","16,693",434,742,"1,199","1,171","1,092",975,905,876,"1,380","1,592","1,679","1,220","1,145",798,570,491,280,110,31,2,1,"18,700","18,700",403,693,"1,206","1,260","1,140","1,019",972,986,"1,612","1,763","1,792","1,348","1,295","1,134",746,591,393,208,106,28,5
우장산동,"43,532","43,532","1,030","2,055","2,656","2,747","2,635","2,571","2,517","2,632","3,988","4,163","4,091","3,000","2,809","2,489","1,800","1,211",717,288,109,19,5,"20,779","20,779",513,997,"1,324","1,330","1,200","1,172","1,263","1,250","1,862","1,919","2,048","1,498","1,345","1,161",814,591,348,109,33,2,0,"22,753","22,753",517,"1,058","1,332","1,417","1,435","1,399","1,254","1,382","2,126","2,244","2,043","1,502","1,464","1,328",986,620,369,179,76,17,5
공항동,"29,225","29,225","1,046","1,710","1,266","1,008","1,393","2,220","2,407","2,402","3,042","2,124","2,133","1,927","2,001","1,671","1,087",842,560,249,105,30,2,"14,738","14,738",533,841,651,512,688,"1,151","1,285","1,227","1,623","1,144","1,092",966,944,821,493,380,261,95,28,3,0,"14,487","14,487",513,869,615,496,705,"1,069","1,122","1,175","1,419",980,"1,041",961,"1,057",850,594,462,299,154,77,27,2
방화제1동,"41,665","41,665","1,211","1,799","2,240","2,058","2,004","2,460","2,905","2,879","3,607","3,468","3,449","2,961","3,221","2,823","1,841","1,311",818,420,143,42,5,"20,335","20,335",613,883,"1,131","1,029","1,004","1,210","1,445","1,375","1,853","1,682","1,804","1,418","1,500","1,340",899,614,345,136,41,13,0,"21,330","21,330",598,916,"1,109","1,029","1,000","1,250","1,460","1,504","1,754","1,786","1,645","1,543","1,721","1,483",942,697,473,284,102,29,5
방화제2동,"22,500","22,500",448,525,591,653,"1,097","1,905","2,093","1,657","1,564","1,432","1,686","1,672","1,927","1,875","1,230",958,680,353,120,32,2,"11,129","11,129",251,273,306,348,532,898,"1,097",888,860,728,904,846,923,877,559,421,258,121,31,6,2,"11,371","11,371",197,252,285,305,565,"1,007",996,769,704,704,782,826,"1,004",998,671,537,422,232,89,26,0
방화제3동,"21,793","21,793",503,511,646,716,785,"1,186","1,770","1,528","1,766","1,426","1,675","1,547","1,921","1,994","1,391","1,057",723,436,161,43,8,"10,512","10,512",264,250,333,371,394,617,884,809,904,705,857,741,907,887,647,477,275,143,39,6,2,"11,281","11,281",239,261,313,345,391,569,886,719,862,721,818,806,"1,014","1,107",744,580,448,293,122,37,6
